"Construct","Indicator","Loading","Alpha","rhoC","rhoA","AVE"
"E","OVERALLX",0.803,"0.767","0.839","n/c","0.645"
"","CUSTOMX",0.98,"","","",""
"","WRONGX",0.575,"","","",""
"Q","OVERALLQ",0.963,"0.873","0.910","n/c","0.775"
"","CUSTOMQ",0.964,"","","",""
"","WRONGQ",0.685,"","","",""
"V","PQ",0.944,"0.945","0.968","n/c","0.938"
"","QP",0.992,"","","",""
"S","SATIS",0.979,"0.915","0.938","n/c","0.835"
"","CONFIRM",0.853,"","","",""
"","IDEAL",0.904,"","","",""
"L","REPUR",1,"n/a","n/a","n/a","n/a"
