N,lambda,rho,truth,naive_optimism_rmse,nested_optimism_rmse,naive_true_rmse,nested_true_rmse,naive_true_mae,nested_true_mae,n
200,0.7,0,M0,-0.009309789751737282,-0.003173456394520017,1.027198562339481,1.0269267421445964,0.8192450577375318,0.8190633647416087,200
200,0.7,0,M6,-0.013044135220192708,-0.005894444555208673,1.0370074850426603,1.037663753097024,0.8273638649488912,0.8279122328965391,200
200,0.7,0,M7,-0.019479745664573247,-0.009913832202049886,1.042961535210135,1.043836634199281,0.8320981738476807,0.83280018457229,200
200,0.7,0.4,M0,-0.01927867546184161,-0.013192259287059869,1.02819722691264,1.0281989270365401,0.8203182137474123,0.8203158181555099,200
200,0.7,0.4,M6,-0.0196958502796863,-0.012309793876389998,1.0368865062201986,1.0375597172905067,0.8270454552888968,0.8276007031412836,200
200,0.7,0.4,M7,-0.01824675426204725,-0.009541383430848574,1.0437887731062232,1.0445983552148745,0.832647069466881,0.833319929339952,200
200,0.85,0,M0,-0.022737760390003622,-0.016949286735816558,1.020183128421775,1.020247633403278,0.8138959979567746,0.8139282172899781,200
200,0.85,0,M6,-0.02069252631311884,-0.012651421067194971,1.0292978696744715,1.0300916032778795,0.8211081523948529,0.8217975773874041,200
200,0.85,0,M7,-0.023743231651553967,-0.015520017738227379,1.0336710898103962,1.0348427407568854,0.8255166461319258,0.8264002918702323,200
200,0.85,0.4,M0,-0.0194833821664498,-0.01268939558741703,1.0195464111915036,1.019266836500891,0.8138814187710514,0.8136598088196765,200
200,0.85,0.4,M6,-0.0202594950655189,-0.012314899825867814,1.0285092194113359,1.0293388728744306,0.8204897472781191,0.8211557088069051,200
200,0.85,0.4,M7,-0.020963970922820582,-0.011166614043236335,1.0347133268839113,1.0352109056658405,0.8256762907882453,0.8260760054603108,200
500,0.7,0,M0,-0.009084396313238968,-0.006437318788811564,1.0207451732785617,1.0207079292544046,0.8147144644478687,0.8146740322566902,200
500,0.7,0,M6,-0.006813049667069779,-0.004967342584080545,1.0288511359525596,1.0292125580325895,0.8208098738582682,0.8210880189886548,200
500,0.7,0,M7,-0.008204396048557378,-0.006489243733943318,1.0304672578597895,1.0312112678136123,0.8220384109753205,0.8226521786364558,200
500,0.7,0.4,M0,-0.008698733981562111,-0.006234392493263136,1.0206392230321533,1.0206454576519264,0.8145196376313998,0.8145202794830754,200
500,0.7,0.4,M6,-0.008243016234287423,-0.00601756361987767,1.0279566845720542,1.028474713647549,0.8198947756202106,0.8202957173211303,200
500,0.7,0.4,M7,-0.008758245162510609,-0.00722710365532672,1.0306667748871359,1.0312201396965899,0.8223962248390557,0.822835477425107,200
500,0.85,0,M0,-0.008895499568266484,-0.005852200880372713,1.0137326216940592,1.0136067688493222,0.8090141804265626,0.8089097509548081,200
500,0.85,0,M6,-0.004662052300641217,-0.0028292426192243975,1.0201236865062306,1.0205626165225876,0.813613342681311,0.8139435231727952,200
500,0.85,0,M7,-0.0064815417690600756,-0.004486485486363744,1.0208176066435386,1.02167476458169,0.8149007106041786,0.8155574688090313,200
500,0.85,0.4,M0,-0.008489330317253262,-0.005487982351748016,1.0143415117340708,1.0142281178156582,0.8094077255321095,0.809315086020853,200
500,0.85,0.4,M6,-0.005812322241768154,-0.004014537278371323,1.0190004210360726,1.019474797318404,0.8127869918811497,0.8131694855068521,200
500,0.85,0.4,M7,-0.00627163840469734,-0.004149771561267411,1.0221381986197535,1.0229702291445264,0.815711596114133,0.8163716713882527,200
1000,0.7,0,M0,-0.0031279731500459275,-0.0017255122162170716,1.0176461869894147,1.017670015783723,0.8121157193159456,0.8121292365021483,200
1000,0.7,0,M6,-0.0036965560566258764,-0.0028002046746427893,1.0252224618098547,1.0253958739161313,0.8180515584203764,0.8181901468207443,200
1000,0.7,0,M7,-0.0032361480204492893,-0.002852582958978486,1.0266047287800653,1.0268567674716356,0.8193700813127823,0.8195696756401005,200
1000,0.7,0.4,M0,-0.002357636271702714,-0.0010398594513511283,1.0176391823658053,1.017673596600166,0.81186420260448,0.8118929889050961,200
1000,0.7,0.4,M6,-0.005589142700627075,-0.005015654270062714,1.0248870814328588,1.024979905566219,0.8178091834334615,0.8178794781203669,200
1000,0.7,0.4,M7,-0.0049962803155205295,-0.0045293162640226555,1.027645289818328,1.0280123643116157,0.820213805317868,0.8205025715431193,200
1000,0.85,0,M0,-0.0040334274388065935,-0.0025788857961235993,1.012722813870423,1.012693520217082,0.8084406481806558,0.8084254479395464,200
1000,0.85,0,M6,-0.001304273548284587,-0.0010166286439698014,1.0162331745480333,1.0164246664062668,0.8106994006781871,0.8108468880215455,200
1000,0.85,0,M7,1.0543750451341927e-4,2.0830326282218704e-4,1.0157461638132996,1.01595600927551,0.8102755004665406,0.8104428581894713,200
1000,0.85,0.4,M0,-0.0031190845192039037,-0.0017186882141927296,1.0120919367033476,1.0120881005341438,0.8075930858505225,0.8075981614193476,200
1000,0.85,0.4,M6,-0.003368614786271988,-0.0029951366817633357,1.0146004953689083,1.0147260972732668,0.8093278477238601,0.8094227365485032,200
1000,0.85,0.4,M7,-0.002362464260142857,-0.0019581377027210168,1.0174830365329066,1.0177935229635469,0.8118059335082489,0.8120446764429984,200
