N,lambda,rho,truth,tau,core_model,true_rmse,true_mae,pE,pQ,pV,n
200,0.7,0,M0,0.6,M0,1.025187822747241,0.8177818144237831,0.16203703703703703,0.14722222222222223,0.13796296296296295,108
200,0.7,0,M0,0.6,M1,1.026639590855202,0.8189331877557141,0.7521739130434782,0.1391304347826087,0.20869565217391306,23
200,0.7,0,M0,0.6,M2,1.0273549235744206,0.8188405543564186,0.1956521739130435,0.8347826086956521,0.14347826086956522,23
200,0.7,0,M0,0.6,M3,1.0256095631106696,0.818264583662959,0.18888888888888888,0.10740740740740741,0.7851851851851852,27
200,0.7,0,M0,0.6,M4,1.0338965003849874,0.8235050924309111,0.7166666666666667,0.7833333333333333,0.15,6
200,0.7,0,M0,0.6,M5,1.043212247231526,0.8327192601601782,0.775,0.125,0.775,4
200,0.7,0,M0,0.6,M6,1.0348902986810484,0.8249068648971382,0.06666666666666667,0.7666666666666666,0.7833333333333333,6
200,0.7,0,M0,0.6,M7,1.0477686186780168,0.834891593282261,0.9333333333333333,0.7333333333333333,0.9333333333333333,3
200,0.7,0,M0,0.7,M0,1.0252777315920756,0.8178339582697437,0.1921259842519685,0.16614173228346457,0.16771653543307086,127
200,0.7,0,M0,0.7,M1,1.0263064215598345,0.8189925195630947,0.8294117647058824,0.11176470588235295,0.2647058823529412,17
200,0.7,0,M0,0.7,M2,1.026460492500741,0.8178496639220837,0.2090909090909091,0.8681818181818182,0.16363636363636364,22
200,0.7,0,M0,0.7,M3,1.0260352324308863,0.8184915347368052,0.2142857142857143,0.1,0.8380952380952381,21
200,0.7,0,M0,0.7,M4,1.039059224153149,0.8280564058191823,0.775,0.8,0.125,4
200,0.7,0,M0,0.7,M5,1.0396115803487131,0.8261362110837752,0.825,0.4,0.975,4
200,0.7,0,M0,0.7,M6,1.036759113318397,0.8274873738493886,0,0.8,0.875,4
200,0.7,0,M0,0.7,M7,1.0750587469946928,0.8625334616964203,1,1,0.8,1
200,0.7,0,M0,0.8,M0,1.0248921927210033,0.8176049939358073,0.21007194244604316,0.17985611510791366,0.18273381294964028,139
200,0.7,0,M0,0.8,M1,1.0277123998041156,0.819795423080225,0.8692307692307693,0.13076923076923078,0.25384615384615383,13
200,0.7,0,M0,0.8,M2,1.026321207903003,0.8171306295621147,0.25263157894736843,0.9,0.1473684210526316,19
200,0.7,0,M0,0.8,M3,1.027591013632401,0.8198107226411085,0.20952380952380953,0.15714285714285714,0.8666666666666667,21
200,0.7,0,M0,0.8,M4,1.0532535003114463,0.8403580545114285,0.8500000000000001,0.8500000000000001,0.25,2
