"tau","core_model","true_rmse","true_mae","pE","pQ","pV","N","lambda","rho","truth","rep"
0.6,"M2",1.01911098394677,0.813354083452451,0,0.7,0.4,200,0.7,0,"M0",1
0.7,"M2",1.01911098394677,0.813354083452451,0,0.7,0.4,200,0.7,0,"M0",1
0.8,"M0",1.01826653215926,0.812290567784656,0,0.7,0.4,200,0.7,0,"M0",1
0.6,"M0",1.03221338052928,0.826800981735674,0.2,0,0.1,200,0.7,0,"M0",2
0.7,"M0",1.03221338052928,0.826800981735674,0.2,0,0.1,200,0.7,0,"M0",2
0.8,"M0",1.03221338052928,0.826800981735674,0.2,0,0.1,200,0.7,0,"M0",2
0.6,"M0",1.01652302921791,0.80289980630158,0.4,0.3,0.3,200,0.7,0,"M0",3
0.7,"M0",1.01652302921791,0.80289980630158,0.4,0.3,0.3,200,0.7,0,"M0",3
0.8,"M0",1.01652302921791,0.80289980630158,0.4,0.3,0.3,200,0.7,0,"M0",3
0.6,"M0",1.04310529922896,0.831501900319301,0.1,0.5,0.2,200,0.7,0,"M0",4
0.7,"M0",1.04310529922896,0.831501900319301,0.1,0.5,0.2,200,0.7,0,"M0",4
0.8,"M0",1.04310529922896,0.831501900319301,0.1,0.5,0.2,200,0.7,0,"M0",4
0.6,"M0",1.02334093292259,0.820315200962941,0.3,0.3,0.3,200,0.7,0,"M0",5
0.7,"M0",1.02334093292259,0.820315200962941,0.3,0.3,0.3,200,0.7,0,"M0",5
0.8,"M0",1.02334093292259,0.820315200962941,0.3,0.3,0.3,200,0.7,0,"M0",5
0.6,"M2",1.02626265681906,0.816263248909078,0.3,1,0.1,200,0.7,0,"M0",6
0.7,"M2",1.02626265681906,0.816263248909078,0.3,1,0.1,200,0.7,0,"M0",6
0.8,"M2",1.02626265681906,0.816263248909078,0.3,1,0.1,200,0.7,0,"M0",6
0.6,"M0",1.03430377001155,0.826814669277765,0.4,0.4,0.2,200,0.7,0,"M0",7
0.7,"M0",1.03430377001155,0.826814669277765,0.4,0.4,0.2,200,0.7,0,"M0",7
0.8,"M0",1.03430377001155,0.826814669277765,0.4,0.4,0.2,200,0.7,0,"M0",7
0.6,"M0",1.02019411829536,0.816770659188959,0,0,0,200,0.7,0,"M0",8
0.7,"M0",1.02019411829536,0.816770659188959,0,0,0,200,0.7,0,"M0",8
0.8,"M0",1.02019411829536,0.816770659188959,0,0,0,200,0.7,0,"M0",8
